cidade;populacao;pib_per_capita;salario_medio_mensal;area_territorial;consumo_industrial;consumo_comercio;consumo_rural;consumo_residencial;consumo_iluminacao
São Paulo - Mirante de Santana;11253503;62341.21;41;1521202;14100892;53693815;11688;55022364;15128338
Bauru;343937;40668.42;26;667684;839421;1332884;46810;1823814;599509
Campos do Jordão;47789;25312.3;18;289981;78357;202459;3088;275909;79337
Presidente Prudente;207610;36663.15;24;560637;387760;953907;39779;1117855;402754
Franca;318640;28787.49;20;605679;686909;708625;42331;1558035;515551
São Carlos;221950;46832.89;31;1136907;1863293;692404;127274;1188384;513757
Iguape;28841;40708.33;22;1978795;6576;31174;10263;113375;33005
Sorocaba;586625;54878.75;29;449872;4313438;1980334;28485;3283635;692724
Itapeva;87753;30822.88;21;1826258;1154939;136484;137421;264608;95016
São Miguel Arcanjo;31450;23793.9;18;930339;9913;28219;58726;82195;23058
Ourinhos;103035;29151.05;22;295818;171005;233084;13791;451687;178046
Rancharia;28804;31394.55;19;1587498;132131;48991;38396;112929;38997
Avare;82934;30291.15;20;1213055;113006;172618;97377;338634;163559
Piracicaba;364571;68843.7;31;1378069;6352959;1270280;66770;1991625;788796
Lins;71432;68996.22;24;570058;164482;196373;19250;370360;98439
Taubaté;278686;58290.8;28;625003;1814969;822145;19329;1278983;293212
Votuporanga;84692;31236.51;21;420703;134064;289003;143025;417468;123718
Jales;47012;32977.6;21;368574;88001;147762;37780;226516;60743
Valparaiso;22576;31420.79;24;857661;250775;22358;9558;86510;45614
Jose Bonifácio;32763;34118.53;19;860200;129676;61148;47561;168162;47176
Ariranha;8547;76951.4;27;132624;39082;7751;6587;36671;11113
Ibitinga;53158;24939.53;16;689391;133359;102402;29079;269257;88935
Casa Branca;28307;29941.77;21;864225;40421;46365;154704;105834;46954
Itapira;68537;51107.82;27;518416;631991;135599;50040;295290;91932
São Luis do Paraitinga;10397;15911.03;19;617315;1664;9883;24693;30678;9199
Barra Bonita;35246;31534.03;23;150121;93212;77052;3222;160823;84096
Bragança Paulista;146744;38406.56;24;512584;1271835;416741;92883;750328;186881
Moela;290752;28417.36;30;144794;463446;1319242;5419;1540802;341827
Barra do Turvo;7729;12681.92;19;1007684;275;6206;3495;17135;3844
Pradopolis;17377;29431.31;22;167378;25490;14896;7637;76399;27455
Barretos;112101;39577.48;24;1566161;407555;415160;134655;585306;197296
Ituverava;38695;38094.32;22;704659;44533;90775;31231;181596;49707
Barueri;240749;192647.61;40;65701;1265504;3688191;0;1463993;320544
Dracena;43258;27573.28;20;487688;48947;134151;19708;211313;61113
Marília;216745;35098.66;24;1170515;586653;633304;36402;1056378;434951
Bebedouro;75035;42748.59;23;683192;340041;224398;82279;364151;115254
Bertioga;47645;28923.67;28;491546;12877;349667;202;530342;107413
Registro;54261;37160.21;22;722201;23195;143247;19569;209442;62376
São Sebastião;73942;40181.39;30;402395;751472;326566;561;612298;143235
Tupã;63476;29449.71;20;627986;93648;153794;58738;273636;105464
Cachoeira Paulista;30091;18545.37;22;287990;15581;59674;10694;122726;85121
São Simão (SP);14346;30305.11;20;617252;58738;28563;12889;56882;18966
São Paulo-SESC Interlagos;11253503;62341.21;41;1521202;14100892;53693815;11688;55022364;15128338
