cidade;distribuidora
São Paulo - Mirante de Santana;ELETROPAULO
Bauru;CPFL PAULISTA
Campos do Jordão;ELEKTRO
Presidente Prudente;ENERGISA SSE-SP
Franca;CPFL PAULISTA
São Carlos;CPFL PAULISTA
Iguape;ELEKTRO
Sorocaba;CPFL PIRATININGA
Itapeva;ELEKTRO
São Miguel Arcanjo;CPFL SANTA CRUZ
Ourinhos;CPFL SANTA CRUZ
Rancharia;ENERGISA SSE-SP
Avare;CPFL SANTA CRUZ
Piracicaba;CPFL PAULISTA
Lins;CPFL PAULISTA
Taubaté;EDP SP
Votuporanga;ELEKTRO
Jales;ELEKTRO
Valparaiso;CPFL PAULISTA
Jose Bonifácio;CPFL PAULISTA
Ariranha;CPFL PAULISTA
Ibitinga;CPFL PAULISTA
Casa Branca;CPFL SANTA CRUZ
Itapira;CPFL PAULISTA
São Luis do Paraitinga;ELEKTRO
Barra Bonita;CPFL PAULISTA
Bragança Paulista;ENERGISA SSE-SP
Moela;ELEKTRO
Barra do Turvo;ELEKTRO
Pradopolis;CPFL PAULISTA
Barretos;CPFL PAULISTA
Ituverava;CPFL PAULISTA
Barueri;ELETROPAULO
Dracena;ELEKTRO
Marília;CPFL PAULISTA
Bebedouro;CPFL PAULISTA
Bertioga;ELEKTRO
Registro;ELEKTRO
São Sebastião;EDP SP
Tupã;ENERGISA SSE-SP
Cachoeira Paulista;EDP SP
São Simão (SP);CPFL PAULISTA
São Paulo-SESC Interlagos;ELETROPAULO
